unit,caste,land_unit,num_men,man_entity,armour,charge_bonus,melee_attack,melee_defence,morale,primary_melee_weapon,mass,hit_points,size,bonus_v_large,damage,ap_damage,melee_weapon_type,melee_attack_interval,armour_value
wh2_dlc09_tmb_cha_khatep_3,lord,wh2_dlc09_tmb_cha_khatep_3,1,wh2_dlc16_tmb_skeleton_khatep_hero_lord,wh2_main_bone_80,8,28,20,75,wh2_dlc09_tmb_sword_casket_khatep,800.0000,8,small,0,230,120,axe,4.0000,80
wh2_dlc09_tmb_cha_liche_priest_death_0,hero,wh2_dlc09_tmb_cha_liche_priest_death_0,1,wh2_dlc09_tmb_skeleton_infantry_hero_liche_priest,wh2_main_bone_30,10,25,30,60,wh2_dlc09_tmb_staff_hero,600.0000,8,small,0,210,90,axe,4.0000,30
wh2_dlc09_tmb_cha_liche_priest_death_1,hero,wh2_dlc09_tmb_cha_liche_priest_death_1,1,wh2_dlc09_tmb_skeleton_infantry_hero_liche_priest,wh2_main_bone_30,30,25,30,60,wh2_dlc09_tmb_staff_hero,600.0000,8,small,0,210,90,axe,4.0000,30
wh2_dlc09_tmb_cha_liche_priest_light_0,hero,wh2_dlc09_tmb_cha_liche_priest_light_0,1,wh2_dlc09_tmb_skeleton_infantry_hero_liche_priest,wh2_main_bone_30,10,25,30,60,wh2_dlc09_tmb_staff_hero,600.0000,8,small,0,210,90,axe,4.0000,30
wh2_dlc09_tmb_cha_liche_priest_light_1,hero,wh2_dlc09_tmb_cha_liche_priest_light_1,1,wh2_dlc09_tmb_skeleton_infantry_hero_liche_priest,wh2_main_bone_30,30,25,30,60,wh2_dlc09_tmb_staff_hero,600.0000,8,small,0,210,90,axe,4.0000,30
wh2_dlc09_tmb_cha_liche_priest_nehekhara_0,hero,wh2_dlc09_tmb_cha_liche_priest_nehekhara_0,1,wh2_dlc09_tmb_skeleton_infantry_hero_liche_priest,wh2_main_bone_30,10,25,30,60,wh2_dlc09_tmb_staff_hero,600.0000,8,small,0,210,90,axe,4.0000,30
wh2_dlc09_tmb_cha_liche_priest_nehekhara_1,hero,wh2_dlc09_tmb_cha_liche_priest_nehekhara_1,1,wh2_dlc09_tmb_skeleton_infantry_hero_liche_priest,wh2_main_bone_30,30,25,30,60,wh2_dlc09_tmb_staff_hero,600.0000,8,small,0,210,90,axe,4.0000,30
wh2_dlc09_tmb_cha_liche_priest_shadow_0,hero,wh2_dlc09_tmb_cha_liche_priest_shadow_0,1,wh2_dlc09_tmb_skeleton_infantry_hero_liche_priest,wh2_main_bone_30,10,25,30,60,wh2_dlc09_tmb_staff_hero,600.0000,8,small,0,210,90,axe,4.0000,30
wh2_dlc09_tmb_cha_liche_priest_shadow_1,hero,wh2_dlc09_tmb_cha_liche_priest_shadow_1,1,wh2_dlc09_tmb_skeleton_infantry_hero_liche_priest,wh2_main_bone_30,30,25,30,60,wh2_dlc09_tmb_staff_hero,600.0000,8,small,0,210,90,axe,4.0000,30
wh2_dlc09_tmb_cha_necrotect_0,hero,wh2_dlc09_tmb_cha_necrotect_0,1,wh2_dlc09_tmb_skeleton_infantry_hero,wh2_main_bone_55,20,45,30,65,wh2_dlc09_tmb_sword_hero,600.0000,8,small,0,240,120,sword,4.0000,55
wh2_dlc09_tmb_cha_necrotect_1,hero,wh2_dlc09_tmb_cha_necrotect_1,2,wh2_dlc09_tmb_skeleton_infantry_hero,wh2_main_bone_80,75,28,24,65,wh2_dlc09_tmb_chariot_lord,600.0000,8,small,0,260,140,axe,4.0000,80
wh2_dlc09_tmb_cha_settra_0,lord,wh2_dlc09_tmb_cha_settra_0,1,wh2_dlc16_tmb_skeleton_settra_hero_lord,wh2_main_chainmail_80,20,60,55,85,wh2_dlc09_tmb_halberd_settra,800.0000,8,small,20,140,330,spear,4.0000,80
wh2_dlc09_tmb_cha_settra_1,lord,wh2_dlc09_tmb_cha_settra_1,1,wh2_dlc16_tmb_skeleton_settra_hero_lord,wh2_main_chainmail_80,40,60,55,85,wh2_dlc09_tmb_halberd_settra,800.0000,8,small,20,140,330,spear,4.0000,80
wh2_dlc09_tmb_cha_settra_2,lord,wh2_dlc09_tmb_cha_settra_2,2,wh2_dlc16_tmb_skeleton_settra_hero_lord,wh2_main_bone_110,100,45,30,85,wh2_dlc09_tmb_chariot_settra,800.0000,8,small,0,150,350,axe,4.0000,110
wh2_dlc09_tmb_cha_settra_3,lord,wh2_dlc09_tmb_cha_settra_3,1,wh2_dlc16_tmb_skeleton_settra_hero_lord,wh2_dlc10_bone_95,64,40,38,85,wh2_dlc09_tmb_warsphinx_lord,800.0000,8,small,0,145,345,axe,4.0000,95
wh2_dlc09_tmb_cha_tomb_king_0,lord,wh2_dlc09_tmb_cha_tomb_king_0,1,wh2_dlc09_tmb_skeleton_infantry_hero_lord,wh2_main_chainmail_80,20,50,60,80,wh2_dlc09_tmb_sword_hero_lord,800.0000,8,small,0,290,160,sword,4.0000,80
wh2_dlc09_tmb_cha_tomb_king_1,lord,wh2_dlc09_tmb_cha_tomb_king_1,1,wh2_dlc09_tmb_skeleton_infantry_hero_lord,wh2_main_chainmail_80,40,50,60,80,wh2_dlc09_tmb_sword_hero_lord,800.0000,8,small,0,290,160,sword,4.0000,80
wh2_dlc09_tmb_cha_tomb_king_2,lord,wh2_dlc09_tmb_cha_tomb_king_2,2,wh2_dlc09_tmb_skeleton_infantry_hero_lord,wh2_main_bone_80,80,34,26,80,wh2_dlc09_tmb_chariot_lord,800.0000,8,small,0,260,140,axe,4.0000,80
wh2_dlc09_tmb_cha_tomb_king_3,lord,wh2_dlc09_tmb_cha_tomb_king_3,1,wh2_dlc09_tmb_skeleton_infantry_hero_lord,wh2_dlc10_bone_95,64,38,38,80,wh2_dlc09_tmb_warsphinx_lord,800.0000,8,small,0,145,345,axe,4.0000,95
wh2_dlc09_tmb_cha_tomb_prince_0,hero,wh2_dlc09_tmb_cha_tomb_prince_0,1,wh2_dlc09_tmb_skeleton_infantry_hero,wh2_main_chainmail_70,15,38,48,70,wh2_dlc09_tmb_halberd_prince,600.0000,8,small,25,110,260,spear,4.0000,70
wh2_dlc09_tmb_cha_tomb_prince_1,hero,wh2_dlc09_tmb_cha_tomb_prince_1,1,wh2_dlc09_tmb_skeleton_infantry_hero,wh2_main_chainmail_70,35,38,48,70,wh2_dlc09_tmb_halberd_prince,600.0000,8,small,25,110,260,spear,4.0000,70
wh2_dlc09_tmb_cha_tomb_prince_2,hero,wh2_dlc09_tmb_cha_tomb_prince_2,2,wh2_dlc09_tmb_skeleton_infantry_hero,wh2_main_bone_80,80,30,24,70,wh2_dlc09_tmb_chariot_lord,600.0000,8,small,0,260,140,axe,4.0000,80
wh2_dlc09_tmb_inf_crypt_ghouls,melee_infantry,wh2_dlc09_tmb_inf_crypt_ghouls,120,wh3_main_arkhan_tmb_inf_ghoul_blood_dismembers,wh2_main_body_30,16,40,38,54,wh3_main_tmb_claws_ghouls,90.0000,8,small,0,40,10,sword,4.0000,30
wh2_dlc09_tmb_inf_nehekhara_warriors_0,melee_infantry,wh2_dlc09_tmb_inf_nehekhara_warriors_0,120,wh2_dlc09_tmb_skeleton,wh2_main_bone_45,15,32,22,45,wh2_dlc09_tmb_dual_sword,80.0000,8,small,0,26,7,sword,4.5000,45
wh2_dlc09_tmb_inf_nehekhara_warriors_ror,melee_infantry,wh2_dlc09_tmb_inf_nehekhara_warriors_ror,120,wh2_dlc_09_tmb_skeleton_ror,wh_main_body_0,15,48,32,55,wh2_dlc09_tmb_dual_sword_ror_ethereal,80.0000,8,small,0,0,42,sword,4.5000,0
wh2_dlc09_tmb_inf_skeleton_archers_0,missile_infantry,wh2_dlc09_tmb_inf_skeleton_archers_0,120,wh2_dlc09_tmb_skeleton_missile,wh2_main_bone_20,3,10,14,35,wh2_dlc09_tmb_sword_short,80.0000,8,small,0,17,3,sword,4.4000,20
wh2_dlc09_tmb_inf_skeleton_archers_ror,missile_infantry,wh2_dlc09_tmb_inf_skeleton_archers_ror,120,wh2_dlc09_tmb_skeleton_missile,wh2_main_bone_30,3,14,19,45,wh2_dlc09_tmb_sword_short,80.0000,8,small,0,17,3,sword,4.4000,30
wh2_dlc09_tmb_inf_skeleton_spearmen_0,melee_infantry,wh2_dlc09_tmb_inf_skeleton_spearmen_0,160,wh2_dlc09_tmb_skeleton,wh2_main_bone_20,3,14,30,35,wh2_dlc09_tmb_spear,80.0000,8,small,14,18,6,spear,4.5000,20
wh2_dlc09_tmb_inf_skeleton_spearmen_ror,melee_infantry,wh2_dlc09_tmb_inf_skeleton_spearmen_ror,160,wh2_dlc09_tmb_skeleton,wh2_main_bone_45,3,19,42,45,wh2_dlc09_tmb_spear_ror,80.0000,8,small,14,19,5,spear,4.5000,45
wh2_dlc09_tmb_inf_skeleton_warriors_0,melee_infantry,wh2_dlc09_tmb_inf_skeleton_warriors_0,160,wh2_dlc09_tmb_skeleton,wh2_main_bone_20,5,18,22,35,wh2_dlc09_tmb_sword,80.0000,8,small,0,20,6,sword,4.3000,20
wh2_dlc09_tmb_inf_skeleton_warriors_0_summoned,melee_infantry,wh2_dlc09_tmb_inf_skeleton_warriors_0_summoned,200,wh2_dlc09_tmb_skeleton,wh2_main_bone_20,5,18,22,35,wh2_dlc09_tmb_sword,80.0000,8,small,0,20,6,sword,4.3000,20
wh2_dlc09_tmb_inf_tomb_guard_0,melee_infantry,wh2_dlc09_tmb_inf_tomb_guard_0,120,wh2_dlc09_tmb_skeleton_heavy,wh2_main_bone_55,8,32,41,65,wh2_dlc09_tmb_sword_tomb_guard,120.0000,8,small,0,33,9,sword,4.4000,55
wh2_dlc09_tmb_inf_tomb_guard_1,melee_infantry,wh2_dlc09_tmb_inf_tomb_guard_1,120,wh2_dlc09_tmb_skeleton_heavy,wh2_main_bone_55,5,25,47,65,wh2_dlc09_tmb_halberd,120.0000,8,small,19,9,20,spear,4.9000,55
wh2_dlc09_tmb_inf_tomb_guard_ror,melee_infantry,wh2_dlc09_tmb_inf_tomb_guard_ror,120,wh2_dlc09_tmb_skeleton_heavy,wh2_main_bone_70,15,41,51,75,wh2_dlc09_tmb_dual_sword_ror,120.0000,8,small,0,33,9,sword,4.5000,70
wh2_dlc09_tmb_mon_carrion_0,war_beast,wh2_dlc09_tmb_mon_carrion_0,24,wh2_dlc09_tmb_flying_carrion,wh2_main_body_20,12,26,46,35,wh2_cld09_tmb_carrion,80.0000,8,small,0,35,12,knife,4.0000,20
wh2_dlc09_tmb_mon_carrion_ror,war_beast,wh2_dlc09_tmb_mon_carrion_ror,10,wh2_dlc09_tmb_flying_carrion_ror,wh2_main_body_45,22,38,46,50,wh2_cld09_tmb_carrion_ror,200.0000,8,large,0,17,52,knife,4.0000,45
wh2_dlc09_tmb_mon_dire_wolves,war_beast,wh2_dlc09_tmb_mon_dire_wolves,80,wh3_main_arkhan_tmb_wolf_hound_blood,wh_main_body_0,40,31,14,40,wh3_main_tmb_wolf_fangs,150.0000,8,small,0,22,4,knife,4.6000,0
wh2_dlc09_tmb_mon_fell_bats,war_beast,wh2_dlc09_tmb_mon_fell_bats,60,wh3_main_arkhan_tmb_flying_fell_bat_blood,wh2_main_body_20,30,19,49,30,wh3_main_tmb_fell_bats,150.0000,8,small,0,20,7,knife,4.0000,20
wh2_dlc09_tmb_mon_heirotitan_0,monster,wh2_dlc09_tmb_mon_heirotitan_0,1,wh2_dlc09_tmb_mon_hierotitan,wh2_dlc09_bone_100,20,56,45,60,whh2_dlc09_tmb_heirotitan,6500.0000,8,very_large,0,140,430,axe,4.0000,100
wh2_dlc09_tmb_mon_necrosphinx_0,monster,wh2_dlc09_tmb_mon_necrosphinx_0,1,wh2_dlc09_tmb_mon_necrosphinx,wh2_dlc09_bone_100,52,48,40,60,wh2_dlc09_swords_necrosphinx,5500.0000,8,very_large,35,180,460,sword,3.6000,100
wh2_dlc09_tmb_mon_necrosphinx_ror,monster,wh2_dlc09_tmb_mon_necrosphinx_ror,1,wh2_dlc09_tmb_mon_necrosphinx,wh2_dlc09_bone_100,52,59,50,70,wh2_dlc09_swords_necrosphinx_RoR,5500.0000,8,very_large,35,180,460,sword,3.6000,100
wh2_dlc09_tmb_mon_sepulchral_stalkers_0,monstrous_infantry,wh2_dlc09_tmb_mon_sepulchral_stalkers_0,16,wh2_dlc09_tmb_mon_sepulchral_stalker,wh2_main_bone_80,10,22,30,50,wh2_dlc09_tmb_halberd_stalker,900.0000,8,large,18,23,52,spear,4.7000,80
wh2_dlc09_tmb_mon_sepulchral_stalkers_ror,monstrous_infantry,wh2_dlc09_tmb_mon_sepulchral_stalkers_ror,16,wh2_dlc09_tmb_mon_sepulchral_stalker,wh2_main_bone_80,10,29,38,60,wh2_dlc09_tmb_halberd_stalker,900.0000,8,large,18,23,52,spear,4.7000,80
wh2_dlc09_tmb_mon_tomb_scorpion_0,monster,wh2_dlc09_tmb_mon_tomb_scorpion_0,1,wh2_dlc09_tmb_mon_tomb_scorpion,wh2_dlc10_bone_90,45,35,33,55,wh2_dlc09_tmb_scorpion_claws,2400.0000,8,very_large,0,120,300,axe,3.7000,90
wh2_dlc09_tmb_mon_ushabti_0,monstrous_infantry,wh2_dlc09_tmb_mon_ushabti_0,16,wh2_dlc09_tmb_mon_ushabti,wh2_dlc10_bone_90,18,23,35,50,wh2_dlc09_dual_swords_ushabti,1500.0000,8,large,0,22,57,sword,3.8000,90
wh2_dlc09_tmb_mon_ushabti_0_summoned,monstrous_infantry,wh2_dlc09_tmb_mon_ushabti_0_summoned,16,wh2_dlc09_tmb_mon_ushabti,wh2_dlc10_bone_90,18,23,35,50,wh2_dlc09_dual_swords_ushabti,1500.0000,8,large,0,22,57,sword,3.8000,90
wh2_dlc09_tmb_mon_ushabti_1,monstrous_infantry,wh2_dlc09_tmb_mon_ushabti_1,12,wh2_dlc09_tmb_mon_ushabti,wh2_dlc10_bone_90,18,23,35,40,wh2_dlc09_sword_ushabti,1500.0000,8,large,0,18,47,sword,3.8000,90
wh2_dlc09_tmb_mon_ushabti_ror,monstrous_infantry,wh2_dlc09_tmb_mon_ushabti_ror,12,wh2_dlc09_tmb_mon_ushabti,wh2_dlc10_bone_90,18,30,44,50,wh2_dlc09_sword_ushabti,1500.0000,8,large,0,18,47,sword,3.8000,90
wh2_dlc09_tmb_veh_khemrian_warsphinx_0,monster,wh2_dlc09_tmb_mon_khemrian_warsphinx_0,4,wh2_dlc09_tmb_warsphinx_rider_360,wh2_dlc10_bone_95,64,38,38,60,wh2_dlc09_tmb_warsphinx,100.0000,8,very_large,0,140,340,axe,4.0000,95
wh2_dlc09_tmb_veh_skeleton_archer_chariot_0,chariot,wh2_dlc09_tmb_veh_skeleton_archer_chariot_0,24,wh2_dlc09_tmb_chariot_rider_bow_360,wh2_main_bone_80,58,22,24,55,wh2_dlc09_tmb_chariot,100.0000,8,small,0,24,10,axe,4.0000,80
wh2_dlc09_tmb_veh_skeleton_chariot_0,chariot,wh2_dlc09_tmb_veh_skeleton_chariot_0,24,wh2_dlc09_tmb_skeleton,wh2_main_bone_80,58,22,24,55,wh2_dlc09_tmb_chariot,80.0000,8,small,0,24,10,axe,4.0000,80
wh2_dlc10_def_cav_doomfire_warlocks_0,melee_cavalry,wh2_dlc10_def_cav_doomfire_warlocks_0,60,wh2_dlc17_cavalry_rider_standard_blood_doomfire,wh2_main_leather_15,40,32,28,65,wh2_dlc10_def_warlock_sword,100.0000,8,medium,0,32,13,sword,4.5000,15
wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0,melee_cavalry,wh2_dlc10_def_cav_knights_of_the_ebon_claw_ror_0,48,wh_main_cavalry_rider_standard_blood,wh2_main_plate_120,40,50,54,90,wh2_main_def_cold_one_mace,100.0000,8,medium,0,14,34,axe,4.3000,120
wh2_dlc10_def_cav_raven_heralds_ror_0,missile_cavalry,wh2_dlc10_def_cav_raven_heralds_ror_0,24,wh2_main_cavarly_rider_170_blood,wh2_main_leather_30,20,25,22,62,wh2_main_def_shortsword,100.0000,8,medium,0,19,5,sword,4.3000,30
wh2_dlc10_def_cav_slaanesh_harvesters_ror_0,melee_cavalry,wh2_dlc10_def_cav_slaanesh_harvesters_ror_0,60,wh2_dlc17_cavalry_rider_standard_blood_doomfire,wh2_main_leather_15,40,41,36,75,wh2_dlc10_def_warlock_sword,100.0000,8,medium,0,32,13,sword,4.5000,15
wh2_dlc10_def_cha_crone_0,lord,wh2_dlc10_def_cha_crone_0,1,wh2_dlc10_def_infantry_hero_crone_blood,wh2_main_body_15,55,70,50,80,wh2_dlc10_def_crone_dual_swords,700.0000,8,small,0,140,330,sword,4.0000,15
wh2_dlc10_def_cha_crone_1,lord,wh2_dlc10_def_cha_crone_1,1,wh2_dlc10_def_infantry_hero_crone_blood,wh2_main_body_15,75,70,50,80,wh2_dlc10_def_crone_dual_swords,700.0000,8,small,0,140,330,sword,4.0000,15
wh2_dlc10_def_cha_crone_4,lord,wh2_dlc10_def_cha_crone_4,3,wh2_dlc10_def_infantry_hero_crone_blood,wh2_main_plate_80,35,40,28,80,wh2_dlc10_def_crone_cauldron,700.0000,8,small,0,105,245,axe,4.8000,80
wh2_dlc10_def_cha_crone_5,lord,wh2_dlc10_def_cha_crone_5,1,wh2_dlc10_def_infantry_hero_crone_blood,wh2_main_body_80,75,60,38,80,wh2_dlc10_def_crone_manticore,700.0000,8,small,0,140,330,axe,3.6000,80
wh2_dlc10_def_cha_sorceress_beasts_0,hero,wh2_dlc10_def_cha_sorceress_beasts_0,1,wh2_main_def_infantry_hero_blood_low_kb_resist,wh2_main_body_10,15,39,30,60,wh2_main_def_sorceress_staff,400.0000,8,small,0,200,85,sword,4.0000,10
wh2_dlc10_def_cha_sorceress_beasts_1,hero,wh2_dlc10_def_cha_sorceress_beasts_1,1,wh2_main_def_infantry_hero_blood_low_kb_resist,wh2_main_plate_40,35,39,30,60,wh2_main_def_sorceress_staff,400.0000,8,small,0,200,85,sword,4.0000,40
wh2_dlc10_def_cha_sorceress_beasts_2,hero,wh2_dlc10_def_cha_sorceress_beasts_2,1,wh2_main_def_infantry_hero_blood_low_kb_resist,wh2_main_body_60,35,39,30,60,wh2_main_def_sorceress_cold_one,400.0000,8,small,0,85,200,axe,4.0000,60
wh2_dlc10_def_cha_sorceress_beasts_3,hero,wh2_dlc10_def_cha_sorceress_beasts_3,1,wh2_main_def_infantry_hero_blood_low_kb_resist,wh2_main_plate_40,50,39,30,60,wh2_main_def_sorceress_staff,400.0000,8,small,0,200,85,sword,4.0000,40
wh2_dlc10_def_cha_sorceress_death_0,hero,wh2_dlc10_def_cha_sorceress_death_0,1,wh2_main_def_infantry_hero_blood_low_kb_resist,wh2_main_body_10,15,39,30,60,wh2_main_def_sorceress_staff,400.0000,8,small,0,200,85,sword,4.0000,10
wh2_dlc10_def_cha_sorceress_death_1,hero,wh2_dlc10_def_cha_sorceress_death_1,1,wh2_main_def_infantry_hero_blood_low_kb_resist,wh2_main_plate_40,35,39,30,60,wh2_main_def_sorceress_staff,400.0000,8,small,0,200,85,sword,4.0000,40
wh2_dlc10_def_cha_sorceress_death_2,hero,wh2_dlc10_def_cha_sorceress_death_2,1,wh2_main_def_infantry_hero_blood_low_kb_resist,wh2_main_body_60,35,39,30,60,wh2_main_def_sorceress_cold_one,400.0000,8,small,0,85,200,axe,4.0000,60
wh2_dlc10_def_cha_sorceress_death_3,hero,wh2_dlc10_def_cha_sorceress_death_3,1,wh2_main_def_infantry_hero_blood_low_kb_resist,wh2_main_plate_40,50,39,30,60,wh2_main_def_sorceress_staff,400.0000,8,small,0,200,85,sword,4.0000,40
wh2_dlc10_def_cha_supreme_sorceress_beasts_0,lord,wh2_dlc10_def_cha_supreme_sorceress_beasts_0,1,wh2_main_def_infantry_hero_blood_low_kb_resist,wh2_main_body_10,15,39,30,75,wh2_main_def_sorceress_staff,400.0000,8,small,0,200,85,sword,4.0000,10
wh2_dlc10_def_cha_supreme_sorceress_beasts_1,lord,wh2_dlc10_def_cha_supreme_sorceress_beasts_1,1,wh2_main_def_infantry_hero_blood_low_kb_resist,wh2_main_plate_40,35,39,30,75,wh2_main_def_sorceress_staff,400.0000,8,small,0,200,85,sword,4.0000,40
wh2_dlc10_def_cha_supreme_sorceress_beasts_2,lord,wh2_dlc10_def_cha_supreme_sorceress_beasts_2,1,wh2_main_def_infantry_hero_blood_low_kb_resist,wh2_main_body_60,35,39,30,75,wh2_main_def_sorceress_cold_one,400.0000,8,small,0,85,200,axe,4.0000,60
wh2_dlc10_def_cha_supreme_sorceress_beasts_3,lord,wh2_dlc10_def_cha_supreme_sorceress_beasts_3,1,wh2_main_def_infantry_hero_blood_low_kb_resist,wh2_main_plate_40,50,39,30,75,wh2_main_def_sorceress_staff,400.0000,8,small,0,200,85,sword,4.0000,40
wh2_dlc10_def_cha_supreme_sorceress_beasts_4,lord,wh2_dlc10_def_cha_supreme_sorceress_beasts_4,1,wh2_main_def_infantry_hero_blood_low_kb_resist,wh2_main_body_80,50,40,34,75,wh_dlc01_chs_manticore,400.0000,8,small,0,290,155,axe,3.6000,80
wh2_dlc10_def_cha_supreme_sorceress_beasts_5,lord,wh2_dlc10_def_cha_supreme_sorceress_beasts_5,1,wh2_main_def_infantry_hero_blood_low_kb_resist,wh2_main_body_90,50,50,46,75,wh2_main_def_dreadlord_female_black_dragon,400.0000,8,small,0,140,380,axe,3.8000,90
wh2_dlc10_def_cha_supreme_sorceress_dark_0,lord,wh2_dlc10_def_cha_supreme_sorceress_dark_0,1,wh2_main_def_infantry_hero_blood_low_kb_resist,wh2_main_body_10,15,39,30,75,wh2_main_def_sorceress_staff,400.0000,8,small,0,200,85,sword,4.0000,10
